id,link,house_name,address,price,area,length,width,price_per_square,bedroom,floor,toilet,house_type,furnishing_status,legal_status,priority_characteristics,living_size,direction,crawl_time
114445422,https://www.nhatot.com//mua-ban-dat-quan-lien-chieu-da-nang/114445422.htm#px=SR-stickyad-[PO-5][PL-top],CẦN BÁN ĐẤT HAI MẶT TIỀN KHÁNH AN6 GIAO KHÁNH AN10 KHU BIỆT THỰ 532,,"4,5 tỷ",184.5 m²,20 m,9.5 m,"24,39 triệu/m²",,,,,,Đã có sổ,"Mặt tiền,Nở hậu",,Đông Bắc,2024-05-01 07:21:38
108086691,https://www.nhatot.com//mua-ban-dat-quan-binh-tan-tp-ho-chi-minh/108086691.htm#px=SR-stickyad-[PO-2][PL-top],"Chỉ 1 TỶ 500 CÓ NGAY NỀN VÕ VĂN KIỆT, SỔ HỒNG RIÊNG ,CÁCH Q1 15P",,"2,93 tỷ",54 m²,13.5 m,4 m,"54,26 triệu/m²",,,,,,Đã có sổ,Mặt tiền,,,2024-05-01 07:21:39
115439946,https://www.nhatot.com//mua-ban-dat-thi-xa-tan-uyen-binh-duong/115439946.htm#px=SR-stickyad-[PO-4][PL-top],Cần bán lô đất DT 600m thổ cư 200m tại p thái hòa TP Tân Uyên,,8 tỷ,600 m²,,,"13,33 triệu/m²",,,,,,Đã có sổ,"Mặt tiền,Hẻm xe hơi,Thổ cư 1 phần",,,2024-05-01 07:21:39
115506152,https://www.nhatot.com//mua-ban-nha-dat-quan-8-tp-ho-chi-minh/115506152.htm,"NHÀ HẺM XE HƠI 3 LẦU ST, TẠ QUANG BỬU, QUẬN 8, DTSD 240M2, 5PN 6WC",,"8,5 tỷ",61.7999 m²,,,"137,54 triệu/m²",5 phòng,,6 phòng,"Nhà ngõ, hẻm",,Đã có sổ,,240 m²,Tây Nam,2024-05-01 07:21:41
115506143,https://www.nhatot.com//mua-ban-nha-dat-huyen-hoc-mon-tp-ho-chi-minh/115506143.htm,Nhà liền kề Hóc Môn 3PN XT13,,"1,45 tỷ",36 m²,,,"40,28 triệu/m²",3 phòng,2,2 phòng,Nhà phố liền kề,,Sổ chung / công chứng vi bằng,,,Đông,2024-05-01 07:22:13
115239334,https://www.nhatot.com//mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/115239334.htm,Hẻm 588 Tỉnh Lộ 10 - 2 tầng - Hẻm 3m - 22m2 - Sổ Đẹp - 1 tỷ xx,,"1,85 tỷ",22 m²,,3 m,"84,09 triệu/m²",2 phòng,2,2 phòng,"Nhà ngõ, hẻm",,Đã có sổ,,,,2024-05-01 07:22:13
112340309,https://www.nhatot.com//mua-ban-dat-thanh-pho-bien-hoa-dong-nai/112340309.htm,"CHÍNH CHỦ, ĐẤT Ở TRUNG TÂM THÀNH PHỐ BIÊN HOÀ, 5x19, GIÁ 3TỶ150",,"3,15 tỷ",95 m²,19 m,5 m,"33,16 triệu/m²",,,,,,,,,,2024-05-01 07:22:15
109413622,https://www.nhatot.com//mua-ban-dat-huyen-nha-be-tp-ho-chi-minh/109413622.htm#px=SR-stickyad-[PO-1][PL-top],Đất thổ cư ấp 4 long hậu giáp nhà bè,,650 triệu,40 m²,15 m,4 m,"16,25 triệu/m²",,,,,,Đã có sổ,,,Tây,2024-05-01 07:22:46
113524172,https://www.nhatot.com//mua-ban-can-ho-chung-cu-quan-8-tp-ho-chi-minh/113524172.htm#px=SR-stickyad-[PO-2][PL-top],"Chuyên giỏ hàng The Pegasuite 60m2 2.5 tỷ, 68m2 2.7 tỷ, 92m2 3.7 tỷ",,"2,5 tỷ",60 m²,,,"41,67 triệu/m²",2 phòng,,2 phòng,,,Sổ hồng riêng,,,,2024-05-01 07:22:47
113325684,https://www.nhatot.com//mua-ban-dat-thanh-pho-bac-kan-bac-kan/113325684.htm#px=SR-stickyad-[PO-3][PL-top],"Bán Đất Thành Phố Bắc Kạn 1000m2 bám đường nhựa, 270k/m2",,270 triệu,1000 m²,100 m,10 m,270.000 đ/m²,,,,,,Đã có sổ,,,,2024-05-01 07:22:47
114445422,https://www.nhatot.com//mua-ban-dat-quan-lien-chieu-da-nang/114445422.htm#px=SR-stickyad-[PO-4][PL-top],CẦN BÁN ĐẤT HAI MẶT TIỀN KHÁNH AN6 GIAO KHÁNH AN10 KHU BIỆT THỰ 532,,"4,5 tỷ",184.5 m²,20 m,9.5 m,"24,39 triệu/m²",,,,,,Đã có sổ,"Mặt tiền,Nở hậu",,Đông Bắc,2024-05-01 07:22:48
115424470,https://www.nhatot.com//mua-ban-dat-huyen-krong-pac-dak-lak/115424470.htm#px=SR-stickyad-[PO-5][PL-top],"nhà vườn sầu riêng đang thu hoạch siêu đep, tại mã vùng trồng krongpak",,"1,45 tỷ",2500 m²,20 m,140 m,580.000 đ/m²,,,,,,Đã có sổ,Hẻm xe hơi,,,2024-05-01 07:22:48
114210509,https://www.nhatot.com//mua-ban-nha-dat-huyen-nha-be-tp-ho-chi-minh/114210509.htm#px=SR-special_display_ad-[PO-19][PL-default],NHÀ PHỐ VỪA HOÀN THIỆN ĐẦY ĐỦ NỘI THẤT - HẺM 1942 HTP - XE HƠI 6M,,"5,6 tỷ",50 m²,,,112 triệu/m²,4 phòng,4,5 phòng,"Nhà ngõ, hẻm",Nội thất đầy đủ,Đã có sổ,,,,2024-05-01 07:23:21
115192502,https://www.nhatot.com//mua-ban-dat-huyen-nhon-trach-dong-nai/115192502.htm#px=SR-special_display_ad-[PO-21][PL-default],mặt tiền hùng vương,,16 tỷ,1475 m²,73 m,14.5 m,"10,85 triệu/m²",,,,,,Đã có sổ,Mặt tiền,,,2024-05-01 07:23:21
113853241,https://www.nhatot.com//mua-ban-nha-dat-quan-dong-da-ha-noi/113853241.htm,Toà Nhà Văn Phòng 8 Tầng mặt ngõ 49 Huỳnh Thúc Kháng,,"17,8 tỷ",55 m²,,,"323,64 triệu/m²",8 phòng,,,"Nhà mặt phố, mặt tiền",,Đã có sổ,,,,2024-05-01 07:23:21
114020388,https://www.nhatot.com//mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/114020388.htm,"NHÀ 1T,2L ĐG19 THÔNG RA VÕ VĂN NGÂN VÀ CHƯƠNG DƯƠNG GIÁ 7,5 TỶ",,"7,5 tỷ",60 m²,,6 m,125 triệu/m²,4 phòng,3,,"Nhà ngõ, hẻm",Nội thất đầy đủ,Đã có sổ,,,,2024-05-01 07:23:23
114335439,https://www.nhatot.com//mua-ban-dat-huyen-phong-dien-thua-thien-hue/114335439.htm,Hơn 1000m2 đất trồng cây cách biển 3km giá chỉ vài chục,,70 triệu,1027 m²,,,68.160 đ/m²,,,,,,Đã có sổ,,,,2024-05-01 07:23:23
114355331,https://www.nhatot.com//mua-ban-nha-dat-quan-7-tp-ho-chi-minh/114355331.htm,"NHÀ NHỎ XINH SỔ HỒNG RIÊNG QUẬN 07 - LẦU ĐÚC - TIỆN Ở, SỬA, CHO THUÊ",,"2,49 tỷ",25 m²,,,"99,6 triệu/m²",2 phòng,2,2 phòng,"Nhà ngõ, hẻm",Bàn giao thô,Đã có sổ,,,,2024-05-01 07:23:24
115506090,https://www.nhatot.com//mua-ban-nha-dat-quan-o-mon-can-tho/115506090.htm,BÁN NHÀ MẶT TIỀN KHU DÂN CƯ HIỆN HỮU - KCN TRÀ NÓC,,"2,29 tỷ",150 m²,,,"15,27 triệu/m²",3 phòng,2,4 phòng,"Nhà mặt phố, mặt tiền",,Đã có sổ,,,Đông Bắc,2024-05-01 07:23:54
